R_fighter,B_fighter,R_odds,B_odds,Winner,title_bout,weight_class,finish,finish_details,finish_round,total_fight_time_secs
Alexandre Pantoja,Askar Askarov,-210,165,Blue,FALSE,Flyweight,U-DEC,,3,900
Roman Dolidze,Khadis Ibragimov,-167,135,Red,FALSE,Light Heavyweight,KO/TKO,Kick,1,255
Grant Dawson,Nad Narimani,-250,195,Red,FALSE,Catch Weight,U-DEC,,3,900
Joe Duffy,Joel Alvarez,-335,250,Blue,FALSE,Lightweight,SUB,Guillotine Choke,1,145
Brett Johns,Montel Jackson,170,-215,Red,FALSE,Bantamweight,U-DEC,,3,900
Malcolm Gordon,Amir Albazi,135,-167,Blue,FALSE,Flyweight,SUB,Triangle Choke,1,282
Davi Ramos,Arman Tsarukyan,160,-200,Blue,FALSE,Lightweight,U-DEC,,3,900
Carlos Felipe,Serghei Spivac,140,-177,Blue,FALSE,Heavyweight,M-DEC,,3,900
Calvin Kattar,Dan Ige,-286,220,Red,FALSE,Featherweight,U-DEC,,5,1500
Tim Elliott,Ryan Benoit,-141,112,Red,FALSE,Flyweight,U-DEC,,3,900
Jimmie Rivera,Cody Stamann,-141,112,Red,FALSE,Featherweight,U-DEC,,3,900
Molly McCann,Taila Santos,-152,120,Blue,FALSE,Women's Flyweight,U-DEC,,3,900
Abdul Razak Alhassan,Mounir Lazzez,-345,260,Blue,FALSE,Welterweight,U-DEC,,3,900
John Phillips,Khamzat Chimaev,271,-375,Blue,FALSE,Middleweight,SUB,D'Arce Choke,2,372
Ricardo Ramos,Lerone Murphy,-162,130,Blue,FALSE,Featherweight,KO/TKO,Punches,1,258
Modestas Bukauskas,Andreas Michailidis,-177,140,Red,FALSE,Light Heavyweight,KO/TKO,,1,300
Jared Gordon,Chris Fishgold,-143,115,Red,FALSE,Featherweight,U-DEC,,3,900
Diana Belbita,Liana Jojua,-195,155,Blue,FALSE,Women's Flyweight,SUB,Armbar,1,163
Jack Shore,Aaron Phillips,-715,475,Red,FALSE,Bantamweight,SUB,Rear Naked Choke,2,449
Kamaru Usman,Jorge Masvidal,-240,190,Red,TRUE,Welterweight,U-DEC,,5,1500
Alexander Volkanovski,Max Holloway,-210,170,Red,TRUE,Featherweight,S-DEC,,5,1500
Petr Yan,Jose Aldo,-215,175,Red,TRUE,Bantamweight,KO/TKO,Punches,5,1404
Jessica Andrade,Rose Namajunas,175,-215,Blue,FALSE,Women's Strawweight,S-DEC,,3,900
Amanda Ribas,Paige VanZant,-770,500,Red,FALSE,Women's Flyweight,SUB,Armbar,1,141
Volkan Oezdemir,Jiri Prochazka,-159,129,Blue,FALSE,Light Heavyweight,KO/TKO,Punch,2,349
Elizeu Zaleski dos Santos,Muslim Salikhov,108,-134,Blue,FALSE,Welterweight,S-DEC,,3,900
Makwan Amirkhani,Danny Henry,-215,170,Red,FALSE,Featherweight,SUB,Anaconda Choke,1,195
Leonardo Santos,Roman Bogatov,-177,145,Red,FALSE,Lightweight,U-DEC,,3,900
Marcin Tybura,Maxim Grishin,-112,-112,Red,FALSE,Heavyweight,U-DEC,,3,900
Raulian Paiva,Zhalgas Zhamagulov,-180,142,Red,FALSE,Flyweight,,,,
Karol Rosa,Vanessa Melo,-250,195,Red,FALSE,Women's Bantamweight,U-DEC,,3,900
Martin Day,Davey Grant,-162,130,Blue,FALSE,Bantamweight,KO/TKO,Punch,3,758
Dustin Poirier,Dan Hooker,-225,180,Red,FALSE,Lightweight,U-DEC,,5,1500
Mike Perry,Mickey Gall,-315,235,Red,FALSE,Welterweight,U-DEC,,3,900
